customer_id,Segment
1011,At Risk
1012,New Customers
1013,Potential Loyalist
1014,Potential Loyalist
1015,Potential Loyalist
1016,Potential Loyalist
1017,At Risk
1018,Potential Loyalist
1019,Potential Loyalist
1020,New Customers
1021,Loyal Customers
1022,Potential Loyalist
1023,At Risk
1024,Loyal Customers
1025,Potential Loyalist
1026,Potential Loyalist
1027,Potential Loyalist
1028,Loyal Customers
1029,Potential Loyalist
1030,Loyal Customers
1031,New Customers
1032,Potential Loyalist
1033,Loyal Customers
1034,New Customers
1035,New Customers
1036,At Risk
1037,Potential Loyalist
1038,New Customers
1039,Potential Loyalist
1040,At Risk
1041,New Customers
1042,New Customers
1043,Loyal Customers
1044,At Risk
1045,At Risk
1046,New Customers
1047,Potential Loyalist
1048,Potential Loyalist
1049,Loyal Customers
1050,Potential Loyalist
1051,At Risk
1052,Potential Loyalist
1053,At Risk
1054,Loyal Customers
1055,At Risk
1056,Potential Loyalist
1057,New Customers
1058,At Risk
1059,New Customers
1060,At Risk
1061,New Customers
1062,Potential Loyalist
1063,Potential Loyalist
1064,At Risk
1065,Potential Loyalist
1066,At Risk
1067,At Risk
1068,Loyal Customers
1069,At Risk
1070,New Customers
1071,Potential Loyalist
1072,New Customers
1073,Potential Loyalist
1074,Loyal Customers
1075,Potential Loyalist
1076,Loyal Customers
1077,Potential Loyalist
1078,New Customers
1079,New Customers
1080,New Customers
1081,Potential Loyalist
1082,New Customers
1083,At Risk
1084,Loyal Customers
1085,New Customers
1086,Loyal Customers
1087,New Customers
1088,Potential Loyalist
1089,At Risk
1090,Potential Loyalist
1091,Loyal Customers
1092,At Risk
1093,Loyal Customers
1094,Potential Loyalist
1095,New Customers
1096,New Customers
1097,At Risk
1098,Potential Loyalist
1099,At Risk
1100,New Customers
1101,Potential Loyalist
1102,Loyal Customers
1103,Loyal Customers
1104,Potential Loyalist
1105,New Customers
1106,Loyal Customers
1107,Potential Loyalist
1108,New Customers
1109,At Risk
1110,Potential Loyalist
1111,Potential Loyalist
1112,At Risk
1113,Loyal Customers
1114,New Customers
1115,Loyal Customers
1116,New Customers
1117,Loyal Customers
1118,New Customers
1119,Loyal Customers
1120,Potential Loyalist
1121,New Customers
1122,New Customers
1123,Potential Loyalist
1124,New Customers
1125,New Customers
1126,New Customers
1127,At Risk
1128,Potential Loyalist
1129,Loyal Customers
1130,Potential Loyalist
1131,Loyal Customers
1132,Loyal Customers
1133,Potential Loyalist
1134,Potential Loyalist
1135,At Risk
1136,Potential Loyalist
1137,Loyal Customers
1138,Potential Loyalist
1139,New Customers
1140,Loyal Customers
1141,At Risk
1142,New Customers
1143,Potential Loyalist
1144,Potential Loyalist
1145,New Customers
1146,New Customers
1147,At Risk
1148,New Customers
1149,At Risk
1150,Potential Loyalist
1151,Potential Loyalist
1152,Loyal Customers
1153,New Customers
1154,At Risk
1155,Potential Loyalist
1156,New Customers
1157,Potential Loyalist
1158,Potential Loyalist
1159,New Customers
1160,At Risk
1161,New Customers
1162,At Risk
1163,New Customers
1164,At Risk
1165,Potential Loyalist
1166,Potential Loyalist
1167,New Customers
1168,Loyal Customers
1169,Potential Loyalist
1170,Potential Loyalist
1171,Loyal Customers
1172,Potential Loyalist
1173,At Risk
1174,New Customers
1175,At Risk
1176,New Customers
1177,Potential Loyalist
1178,Loyal Customers
1179,New Customers
1180,New Customers
1181,Loyal Customers
1182,Potential Loyalist
1183,At Risk
1184,Potential Loyalist
1185,New Customers
1186,Potential Loyalist
1187,New Customers
1188,New Customers
1189,New Customers
1190,New Customers
1191,Potential Loyalist
1192,New Customers
1193,New Customers
1194,Potential Loyalist
1195,New Customers
1196,Potential Loyalist
1197,New Customers
1198,Potential Loyalist
1199,Potential Loyalist
1200,Potential Loyalist
1201,New Customers
1202,New Customers
1203,New Customers
1204,New Customers
1205,Loyal Customers
1206,New Customers
1207,Potential Loyalist
1208,Potential Loyalist
1209,At Risk
1210,Loyal Customers
1211,At Risk
1212,New Customers
1213,Potential Loyalist
1214,New Customers
1215,Potential Loyalist
1216,New Customers
1217,Potential Loyalist
1218,Potential Loyalist
1219,New Customers
1220,New Customers
1221,Potential Loyalist
1222,New Customers
1223,Potential Loyalist
1224,Loyal Customers
1225,New Customers
1226,New Customers
1227,Loyal Customers
1228,At Risk
1229,Potential Loyalist
1230,New Customers
1231,At Risk
1232,Loyal Customers
1233,Loyal Customers
1234,Potential Loyalist
1235,New Customers
1236,New Customers
1237,Loyal Customers
1238,New Customers
1239,Potential Loyalist
1240,New Customers
1241,Potential Loyalist
1242,New Customers
1243,Loyal Customers
1244,New Customers
1245,Potential Loyalist
1246,At Risk
1247,New Customers
1248,New Customers
1249,Potential Loyalist
1250,Loyal Customers
1251,New Customers
1252,Loyal Customers
1253,New Customers
1254,Potential Loyalist
1255,New Customers
1256,Potential Loyalist
1257,At Risk
1258,Loyal Customers
1259,Potential Loyalist
1260,New Customers
1261,Potential Loyalist
1262,New Customers
1263,Potential Loyalist
1264,New Customers
1265,New Customers
1266,At Risk
1267,At Risk
1268,New Customers
1269,At Risk
1270,At Risk
1271,At Risk
1272,Loyal Customers
1273,New Customers
1274,Loyal Customers
1275,At Risk
1276,New Customers
1277,New Customers
1278,New Customers
1279,Potential Loyalist
1280,New Customers
1281,New Customers
1282,Loyal Customers
1283,New Customers
1284,New Customers
1285,Loyal Customers
1286,Potential Loyalist
1287,Potential Loyalist
1288,Potential Loyalist
1289,Potential Loyalist
1290,Loyal Customers
1291,Potential Loyalist
1292,Potential Loyalist
1293,At Risk
1294,At Risk
1295,Potential Loyalist
1296,At Risk
1297,Potential Loyalist
1298,At Risk
1299,Loyal Customers
1300,Potential Loyalist
1301,Potential Loyalist
1302,Loyal Customers
1303,Potential Loyalist
1304,New Customers
1305,At Risk
1306,Potential Loyalist
1307,Loyal Customers
1308,Potential Loyalist
1309,New Customers
1310,New Customers
1311,New Customers
1312,New Customers
1313,Potential Loyalist
1314,Potential Loyalist
1315,Potential Loyalist
1316,Potential Loyalist
1317,Loyal Customers
1318,Potential Loyalist
1319,New Customers
1320,Potential Loyalist
1321,Potential Loyalist
1322,New Customers
1323,Potential Loyalist
1324,Potential Loyalist
1325,New Customers
1326,Potential Loyalist
1327,New Customers
1328,Loyal Customers
1329,Loyal Customers
1330,Potential Loyalist
1331,Loyal Customers
1332,Loyal Customers
1333,New Customers
1334,At Risk
1335,Potential Loyalist
1336,Potential Loyalist
1337,Potential Loyalist
1338,At Risk
1339,Potential Loyalist
1340,Potential Loyalist
1341,New Customers
1342,New Customers
1343,New Customers
1344,New Customers
1345,Potential Loyalist
1346,Loyal Customers
1347,Potential Loyalist
1348,Potential Loyalist
1349,Potential Loyalist
1350,At Risk
1351,Potential Loyalist
1352,New Customers
1353,Loyal Customers
1354,New Customers
1355,New Customers
1356,Potential Loyalist
1357,Loyal Customers
1358,Loyal Customers
1359,New Customers
1360,At Risk
1361,Potential Loyalist
1362,At Risk
1363,Potential Loyalist
1364,Potential Loyalist
1365,At Risk
1366,New Customers
1367,Potential Loyalist
1368,Potential Loyalist
1369,At Risk
1370,New Customers
1371,New Customers
1372,Potential Loyalist
1374,Loyal Customers
1375,Potential Loyalist
1376,Potential Loyalist
1377,Potential Loyalist
1378,Potential Loyalist
1379,Potential Loyalist
1380,At Risk
1381,Potential Loyalist
1382,At Risk
1383,New Customers
1384,Potential Loyalist
1385,At Risk
1386,New Customers
